,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price per Liter mean,Zip Code,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
0,2106,CEDAR FALLS,1434021.94,281.070548804,7,18.8467309958,50613,93982.72,18.4207604861,93.8022814583,337166.53,337804.05,2015-01-08,2016-03-31
1,2113,GOWRIE,85763.42,63.0150036738,94,17.6257038491,50543,6500.83,4.77650991918,21.0824246877,22351.86,21736.63,2015-01-07,2016-03-30
2,2130,WATERLOO,1108184.99,280.624206128,7,17.5065986659,50703,65562.88,16.6024006077,93.6124943024,277764.46,306942.27,2015-01-08,2016-03-31
3,2152,ROCKWELL,72080.36,50.2302160279,17,13.0435902867,50469,6164.92,4.29611149826,16.8247038328,16805.11,9307.75,2015-01-08,2016-02-25
4,2178,WAUKON,277987.96,104.389019902,3,16.5944384857,52172,21719.49,8.15602328201,35.0114570034,54411.42,58939.9,2015-01-07,2016-03-30
5,2190,DES MOINES,1228496.81,95.4913960358,77,24.2991355062,50314,64390.9,5.00512242518,31.8774372328,255939.81,332979.03,2015-01-05,2016-03-31
6,2191,KEOKUK,1275511.37,229.408519784,56,18.9179107896,52632,81213.53,14.60675,76.5189730216,319020.69,302592.88,2015-01-05,2016-03-28
7,2200,SAC CITY,223899.24,57.7059896907,81,17.0451413423,50583,17291.09,4.45646649485,19.3373453608,45340.33,55315.23,2015-01-07,2016-03-30
8,2205,CLARINDA,230898.31,78.2440901389,73,19.3684945396,51632,14895.26,5.04752965097,26.142470349,57849.23,42398.57,2015-01-06,2015-12-28
9,2228,WINTERSET,188879.7,67.0023767293,61,17.7063626529,50273,15188.97,5.38807023767,22.4270237673,51031.04,56241.57,2015-01-06,2016-03-29
10,2233,SPIRIT LAKE,316855.05,125.387831421,30,20.3771728036,51360,23620.75,9.34734863474,41.892132964,68657.91,3536.14,2015-01-06,2016-03-29
11,2238,ALTOONA,105128.53,199.107064394,77,22.3876127345,50009,5771.25,10.9303977273,66.4030492424,4151.93,137416.93,2015-01-05,2016-01-27
12,2248,DES MOINES,659358.37,143.276481964,77,27.7933309215,50312,28855.5,6.27020860495,47.8693242069,121837.56,158476.55,2015-01-08,2016-03-31
13,2285,IOWA CITY,777104.53,259.727449866,52,26.6722677537,52240,37088.59,12.3959191176,86.7601504011,146725.31,125731.51,2015-01-07,2016-03-30
14,2290,STORM LAKE,550217.8,68.682786169,11,18.9217349279,50588,36511.83,4.55771189614,22.9481762576,119287.76,21834.49,2015-01-07,2016-03-30
15,2327,CORNING,100596.8,55.9804117974,2,17.7810649363,50841,7547.62,4.20012242627,18.7060545353,20335.03,39609.55,2015-01-06,2016-03-29
16,2353,CRESCO,485476.01,131.316205031,45,16.5035899543,52136,37904.86,10.2528698945,44.0411766297,110552.94,204038.87,2015-01-06,2016-02-23
