//0																									
//Oxygen,  1.14
//Nitrate, 1,1,0,0
//Nitrate, 134,1,0,4
//Nitrate, 140,1,5,2
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		999.27	0	0.871	0	34.7055	0	27.806	0	204.97	0	58.43	0	37.54	0	0.02	0	0.000118	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		950.83	0	0.9055	0	34.7066	0	27.804	0	204.40	0	58.32	0	38.00	0	0.04	0	0.000118	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		901.65	0	0.9405	0	34.7078	0	27.802	0	203.72	0	58.18	0	37.38	0	0.03	0	0.000118	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		851.24	0	0.9634	0	34.7087	0	27.801	0	202.81	0	57.96	0	38.22	0	0.02	0	0.00012	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		798.66	0	1.0104	0	34.7104	0	27.799	0	203.38	0	58.19	0	37.35	0	0.02	0	0.00012	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		750.8	0	1.0398	0	34.7104	0	27.796	0	202.35	0	57.94	0	36.65	0	0.04	0	0.000122	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		701.73	0	1.07	0	34.7104	0	27.794	0	201.78	0	57.82	0	36.07	0	0.04	0	0.000124	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		651.34	0	1.1117	0	34.7117	0	27.791	0	200.87	0	57.62	0	37.74	0	0.02	0	0.00012	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		601.02	0	1.1316	0	34.712	0	27.79	0	201.10	0	57.72	0	39.37	0	0.02	0	0.000164	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		550.75	0	1.1588	0	34.7117	0	27.788	0	200.87	0	57.69	0	36.77	0	0.03	0	0.000128	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		501.43	0	1.1797	0	34.712	0	27.786	0	200.30	0	57.56	0	37.68	0	0.02	0	0.000122	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		450.96	0	1.2125	0	34.7117	0	27.783	0	199.61	0	57.41	0	37.36	0	0.03	0	0.000124	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		401.05	0	1.2515	0	34.7104	0	27.779	0	198.70	0	57.21	0	37.45	0	0.03	0	0.000126	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		381.62	0	1.259	0	34.7086	0	27.777	0	197.90	0	56.99	0	38.36	0	0.03	0	0.000126	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		358.34	0	1.2673	0	34.7064	0	27.774	0	197.11	0	56.77	0	37.50	0	0.03	0	0.000126	0
0068RossSea	1	C	2/19/2012	08:08	171.832	-65.027		350.96	0	1.2682	0	34.7061	0	27.774	0	196.76	0	56.67	0	37.20	0	0.03	0	0.000124	0
