date,lat,lon,sta,depth,C_fix,C_fix_stderr,C_fix_lt_10um,C_fix_lt_10um_stderr,C_fix_gt_10um,activity_and_comments
20070812,23.841,-159.239,5,5,27.67,2.20,24.82,21.95,2.85,-9999.0
20070812,23.841,-159.239,5,25,39.64,26.18,38.88,9.16,0.76,-9999.0
20070812,23.841,-159.239,5,45,50.27,-9999.0,-9999.0,-9999.0,-9999.0,prefilter data omitted due to mechanical analysis error
20070812,23.841,-159.239,5,75,21.77,21.77,14.93,7.06,6.84,-9999.0
20070812,23.841,-159.239,5,100,0.00,-9999.0,0.00,0.00,0.00,-9999.0
20070812,23.841,-159.239,5,125,0.00,0.00,8.07,8.07,0.00,-9999.0
20070817,23.18,-159.277,19,5,41.55,4.21,49.59,9.13,0.00,-9999.0
20070817,23.18,-159.277,19,25,32.85,0.05,42.45,5.21,0.00,-9999.0
20070817,23.18,-159.277,19,45,25.15,0.78,30.53,5.57,0.00,-9999.0
20070817,23.18,-159.277,19,75,2.07,2.07,21.67,10.17,0.00,-9999.0
20070817,23.18,-159.277,19,100,0.00,-9999.0,2.51,0.46,0.00,-9999.0
20070817,23.18,-159.277,19,125,0.00,0.00,0.00,0.00,0.00,-9999.0
