//0																					
//Oxygen,  1.07
//Nitrate, 3,1,4,0
//Nitrate, 4,1,-2.5,0
//Nitrate, 9, 1, 1,0
//Nitrate, 177, 1, 0, 150
//Nitrate, 184, 1, 0, 20
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth [m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   995.32	0	  2.5403	0	34.6504	0	27.614	0	175.59	0	52.21	0	33.71	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   950.71	0	  2.4708	0	34.6190	0	27.595	0	172.38	0	51.16	0	33.82	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   900.37	0	  2.4594	0	34.6080	0	27.587	0	171.63	0	50.92	0	34.25	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   850.03	0	  2.4446	0	34.5864	0	27.571	0	171.09	0	50.73	0	34.74	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   801.54	0	  2.4463	0	34.5600	0	27.549	0	171.31	0	50.79	0	35.25	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   750.65	0	  2.4023	0	34.5187	0	27.52	0	171.95	0	50.91	0	35.45	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   700.36	0	  2.4347	0	34.4825	0	27.487	0	174.20	0	51.60	0	35.30	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   651.39	0	  2.5329	0	34.4574	0	27.457	0	177.83	0	52.80	0	35.62	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   600.92	0	  2.5322	0	34.4200	0	27.427	0	182.01	0	54.03	0	34.71	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   550.31	0	  2.5079	0	34.3737	0	27.392	0	188.43	0	55.88	0	35.26	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   500.83	0	  2.5015	0	34.3395	0	27.364	0	195.70	0	58.01	0	34.90	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   450.98	0	  2.5434	0	34.3008	0	27.329	0	205.44	0	60.95	0	33.83	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   401.56	0	  2.6043	0	34.2592	0	27.289	0	216.25	0	64.24	0	34.06	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   381.38	0	  2.5731	0	34.2384	0	27.275	0	222.03	0	65.89	0	33.75	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   361.06	0	  2.6042	0	34.2284	0	27.264	0	225.45	0	66.95	0	32.96	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   351.11	0	  2.6134	0	34.2213	0	27.257	0	227.38	0	67.54	0	33.30	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   341.43	0	  2.6263	0	34.2178	0	27.253	0	229.19	0	68.10	0	33.29	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   330.93	0	  2.6357	0	34.2119	0	27.247	0	230.69	0	68.56	0	32.29	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   321.50	0	  2.6431	0	34.2080	0	27.243	0	231.76	0	68.89	0	32.92	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   311.19	0	  2.6509	0	34.2007	0	27.236	0	233.37	0	69.37	0	32.07	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   301.22	0	  2.6675	0	34.1940	0	27.229	0	235.83	0	70.13	0	32.14	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   291.01	0	  2.6797	0	34.1845	0	27.22	0	238.61	0	70.98	0	31.56	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   281.26	0	  2.6848	0	34.1796	0	27.216	0	240.32	0	71.49	0	31.85	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   271.27	0	  2.6946	0	34.1721	0	27.209	0	242.57	0	72.17	0	31.97	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   261.31	0	  2.7069	0	34.1665	0	27.203	0	244.07	0	72.64	0	31.48	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   250.72	0	  2.7358	0	34.1526	0	27.189	0	247.06	0	73.58	0	30.57	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   241.49	0	  2.7574	0	34.1442	0	27.18	0	249.74	0	74.41	0	31.32	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   231.63	0	  2.7852	0	34.1332	0	27.168	0	253.16	0	75.48	0	30.39	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   221.26	0	  2.8406	0	34.1250	0	27.156	0	256.27	0	76.50	0	30.17	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   211.12	0	  2.8787	0	34.1054	0	27.136	0	259.48	0	77.53	0	30.77	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   201.67	0	  2.8900	0	34.0891	0	27.122	0	263.33	0	78.69	0	29.58	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   191.28	0	  3.0230	0	34.0813	0	27.102	0	266.64	0	79.94	0	29.46	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   180.98	0	  3.0581	0	34.0611	0	27.082	0	270.71	0	81.22	0	28.85	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   171.51	0	  3.0785	0	34.0613	0	27.08	0	272.64	0	81.84	0	27.84	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   161.13	0	  3.0143	0	34.0343	0	27.064	0	275.20	0	82.46	0	28.45	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   151.49	0	  2.9330	0	34.0062	0	27.05	0	282.05	0	84.33	0	27.71	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   138.62	0	  2.8940	0	33.9679	0	27.022	0	290.08	0	86.62	0	27.42	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   130.96	0	  2.8190	0	33.9441	0	27.01	0	295.00	0	87.91	0	26.69	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   120.52	0	  2.7109	0	33.8985	0	26.984	0	304.09	0	90.35	0	25.34	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   111.49	0	  2.6874	0	33.8788	0	26.97	0	309.66	0	91.94	0	25.45	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		   100.71	0	  3.3697	0	33.7803	0	26.819	0	314.58	0	94.93	0	22.80	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    95.97	0	  3.9977	0	33.7622	0	26.736	0	318.33	0	97.55	0	22.47	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    91.66	0	  4.1384	0	33.7627	0	26.72	0	320.47	0	98.54	0	22.54	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    86.52	0	  4.1719	0	33.7623	0	26.716	0	321.96	0	99.08	0	21.82	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    80.99	0	  4.1824	0	33.7647	0	26.717	0	322.50	0	99.27	0	22.11	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    76.10	0	  4.2230	0	33.7649	0	26.712	0	322.39	0	99.34	0	22.13	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    71.30	0	  4.2273	0	33.7661	0	26.713	0	322.28	0	99.32	0	21.65	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    66.41	0	  4.2368	0	33.7642	0	26.71	0	322.39	0	99.37	0	21.90	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    61.38	0	  4.2661	0	33.7657	0	26.708	0	322.39	0	99.44	0	21.49	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    56.17	0	  4.2621	0	33.7663	0	26.709	0	322.39	0	99.44	0	22.31	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    50.90	0	  4.2488	0	33.7650	0	26.709	0	322.82	0	99.53	0	21.89	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    46.06	0	  4.2558	0	33.7666	0	26.71	0	322.71	0	99.52	0	22.65	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    41.42	0	  4.2707	0	33.7683	0	26.71	0	322.71	0	99.56	0	21.74	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    36.19	0	  4.2751	0	33.7659	0	26.707	0	322.82	0	99.60	0	22.44	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    31.41	0	  4.2749	0	33.7652	0	26.707	0	322.71	0	99.56	0	22.07	0
5146SoOcn	 3	C	02/22/2008	10:17	  30.201	-50.290		    26.35	0	  4.2803	0	33.7655	0	26.706	0	322.93	0	99.64	0	22.11	0
