//0																									
//Oxygen,  1.16
//Nitrate, 1, 0.95, 0, 0
//Nitrate, 140, 0.95, 0, -10
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		999.87	0	8.8464	0	35.3948	0	27.435	0	1.04	0	0.36	0		8	0.1	0	0.000107	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		950.71	0	9.2406	0	35.4374	0	27.409	0	0.70	0	0.24	0		8	0.09	0	0.000105	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		900.96	0	9.5795	0	35.4652	0	27.378	0	0.35	0	0.12	0		8	0.09	0	0.000094	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		851.01	0	9.9013	0	35.4957	0	27.351	0	0.23	0	0.08	0		8	0.09	0	0.000123	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		801.7	0	10.3383	0	35.5337	0	27.309	0	0.23	0	0.08	0		8	0.07	0	0.000099	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		751.02	0	10.7231	0	35.5667	0	27.271	0	0.23	0	0.08	0		8	0.09	0	0.000099	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		701.4	0	11.0897	0	35.5978	0	27.233	0	0.12	0	0.04	0		8	0.1	0	0.000118	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		650.83	0	11.4774	0	35.6298	0	27.191	0	0.12	0	0.04	0		8	0.09	0	0.000099	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		601.11	0	11.8534	0	35.6675	0	27.154	0	0.12	0	0.04	0		8	0.09	0	0.000109	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		551.12	0	12.3464	0	35.7189	0	27.106	0	0.12	0	0.04	0		8	0.11	0	0.000111	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		501.65	0	12.9237	0	35.8014	0	27.065	0	0.12	0	0.04	0		8	0.09	0	0.000114	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		451.62	0	13.369	0	35.8506	0	27.019	0	0.12	0	0.04	0		8	0.09	0	0.000123	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		400.91	0	13.9466	0	35.9127	0	26.955	0	0.12	0	0.04	0		8	0.1	0	0.00012	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		381.71	0	14.1924	0	35.9362	0	26.925	0	0.12	0	0.05	0		8	0.09	0	0.000127	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		361.23	0	14.5359	0	35.975	0	26.887	0	0.12	0	0.05	0		8	0.09	0	0.000138	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		350.98	0	14.6798	0	35.9867	0	26.866	0	0.12	0	0.05	0		8	0.08	0	0.000138	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		341.53	0	14.8661	0	36.0099	0	26.846	0	0.00	0	0.00	0		8	0.11	0	0.00014	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		330.88	0	14.9895	0	36.0107	0	26.821	0	0.00	0	0.00	0		8	0.09	0	0.000153	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		321.52	0	15.0634	0	36.015	0	26.809	0	0.12	0	0.05	0		8	0.09	0	0.000151	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		311.09	0	15.2553	0	36.0414	0	26.79	0	0.00	0	0.00	0		8	0.11	0	0.000146	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		300.74	0	15.3744	0	36.0405	0	26.763	0	0.00	0	0.00	0		8	0.09	0	0.000146	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		291.1	0	15.5901	0	36.0628	0	26.735	0	0.00	0	0.00	0		8	0.09	0	0.000151	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		281.24	0	15.9376	0	36.1205	0	26.707	0	0.00	0	0.00	0		8	0.09	0	0.000147	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		271.72	0	15.8651	0	36.0656	0	26.677	0	0.00	0	0.00	0		8	0.09	0	0.000157	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		261.31	0	16.2239	0	36.094	0	26.621	0	0.00	0	0.00	0		8	0.09	0	0.000164	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		251.65	0	16.4046	0	36.052	0	26.545	0	0.00	0	0.00	0		8	0.08	0	0.000175	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		241.01	0	16.6684	0	36.0579	0	26.489	0	0.00	0	0.00	0		8	0.1	0	0.000164	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		231.03	0	17.0081	0	36.0903	0	26.438	0	0.00	0	0.00	0		8	0.09	0	0.000155	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		221.41	0	17.0968	0	36.0311	0	26.367	0	0.00	0	0.00	0		8	0.1	0	0.000155	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		211.28	0	17.4668	0	36.0479	0	26.295	0	0.00	0	0.00	0		8	0.09	0	0.000153	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		201.62	0	17.7729	0	36.0075	0	26.187	0	0.00	0	0.00	0		8	0.09	0	0.000147	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		191.7	0	18.0222	0	35.9668	0	26.092	0	0.00	0	0.00	0		8	0.08	0	0.000144	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		181.88	0	18.4209	0	35.9193	0	25.954	0	0.00	0	0.00	0		8	0.08	0	0.00014	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		171.12	0	19.0275	0	35.9182	0	25.802	0	0.00	0	0.00	0		8	0.08	0	0.000123	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		161.27	0	19.55	0	35.9528	0	25.698	0	0.00	0	0.00	0		8	0.07	0	0.000109	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		150.95	0	19.9543	0	35.9815	0	25.618	0	0.12	0	0.05	0		8	0.07	0	0.000098	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		141.57	0	20.3708	0	35.9858	0	25.512	0	2.20	0	0.97	0		8	0.07	0	0.000096	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		131.01	0	20.9249	0	36.0389	0	25.409	0	1.86	0	0.82	0		8	0.06	0	0.000094	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		121.68	0	21.3985	0	36.0602	0	25.298	0	4.06	0	1.82	0		8	0.06	0	0.000105	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		111.77	0	22.1376	0	36.1588	0	25.176	0	16.24	0	7.37	0		8	0.06	0	0.000107	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		101.59	0	22.6958	0	36.2365	0	25.084	0	31.44	0	14.41	0		8	0.1	0	0.000114	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		96.39	0	22.7445	0	36.2066	0	25.044	0	35.38	0	16.23	0		8	0.09	0	0.000112	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		91.53	0	22.9283	0	36.2244	0	25.006	0	38.05	0	17.51	0		8	0.14	0	0.000114	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		86.48	0	23.2569	0	36.2472	0	24.93	0	40.25	0	18.64	0		8	0.16	0	0.000114	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		81.87	0	23.5291	0	36.2504	0	24.852	0	44.66	0	20.77	0		8	0.28	0	0.00012	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		76.86	0	23.8238	0	36.1838	0	24.708	0	48.95	0	22.88	0		8	0.37	0	0.000129	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		71.56	0	26.6113	0	36.5563	0	24.159	0	188.04	0	92.33	0		8	1.62	0	0.000251	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		66.52	0	26.619	0	36.558	0	24.158	0	190.47	0	93.54	0		8	1.49	0	0.000247	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		61.27	0	26.6198	0	36.5598	0	24.159	0	191.98	0	94.28	0		8	1.08	0	0.000258	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		56.52	0	26.6192	0	36.56	0	24.159	0	192.44	0	94.51	0		8	1.23	0	0.000291	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		51.31	0	26.6187	0	36.5599	0	24.159	0	192.91	0	94.73	0		8	1.59	0	0.000265	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		46.53	0	26.6192	0	36.5601	0	24.159	0	193.37	0	94.96	0		8	1.02	0	0.00023	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		41.65	0	26.6183	0	36.5593	0	24.159	0	193.72	0	95.13	0		8	1.72	0	0.000234	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		36.48	0	26.6168	0	36.5588	0	24.159	0	193.95	0	95.24	0		8	1.28	0	0.000249	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		31.48	0	26.619	0	36.5591	0	24.159	0	194.42	0	95.47	0		8	1.74	0	0.000265	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		26.61	0	26.6184	0	36.5586	0	24.158	0	195.23	0	95.87	0		8	1.53	0	0.000234	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		21.55	0	26.6215	0	36.5589	0	24.158	0	196.04	0	96.28	0		8	1.64	0	0.000232	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		16.6	0	26.6266	0	36.5591	0	24.156	0	197.08	0	96.80	0		8	1.25	0	0.000295	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		11.4	0	26.6413	0	36.5587	0	24.151	0	198.36	0	97.45	0		8	1.74	0	0.000335	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491		7.66	0	26.6561	0	36.5594	0	24.147	0	198.71	0	97.64	0		8	0.95	0	0.000449	0
6381ArabianSea	1	C	12/17/2011	8:54	65.576	20.491																			
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		999.54	0	8.8575	0	35.3984	0	27.437	0	1.16	0	0.40	0		8	0.1	0	0.000107	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		951.18	0	9.2867	0	35.4429	0	27.406	0	0.81	0	0.28	0		8	0.09	0	0.000105	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		901.05	0	9.6063	0	35.4727	0	27.38	0	0.46	0	0.16	0		8	0.09	0	0.000101	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		851.64	0	9.9693	0	35.5098	0	27.351	0	0.35	0	0.12	0		8	0.09	0	0.000105	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		801.38	0	10.2983	0	35.5328	0	27.315	0	0.35	0	0.12	0		8	0.09	0	0.000101	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		751.65	0	10.629	0	35.5612	0	27.283	0	0.23	0	0.08	0		8	0.09	0	0.000099	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		701.41	0	11.0172	0	35.5971	0	27.245	0	0.23	0	0.08	0		8	0.1	0	0.000107	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		650.87	0	11.4812	0	35.6344	0	27.194	0	0.23	0	0.09	0		8	0.09	0	0.000107	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		601.04	0	11.8577	0	35.672	0	27.157	0	0.23	0	0.09	0		8	0.1	0	0.000107	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		551.51	0	12.3311	0	35.7252	0	27.114	0	0.12	0	0.04	0		8	0.09	0	0.000122	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		501.28	0	12.7431	0	35.7698	0	27.073	0	0.12	0	0.04	0		8	0.12	0	0.000118	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		450.87	0	13.3387	0	35.8485	0	27.023	0	0.12	0	0.04	0		8	0.09	0	0.000118	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		400.98	0	13.9334	0	35.9147	0	26.96	0	0.12	0	0.04	0		8	0.08	0	0.000136	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		381.42	0	14.1974	0	35.9427	0	26.929	0	0.12	0	0.05	0		8	0.09	0	0.000134	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		361.12	0	14.5733	0	36.0089	0	26.907	0	0.12	0	0.05	0		8	0.09	0	0.000127	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		351.3	0	14.7756	0	36.0346	0	26.887	0	0.12	0	0.05	0		8	0.09	0	0.000138	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		340.93	0	15.0575	0	36.0765	0	26.862	0	0.12	0	0.05	0		8	0.11	0	0.000125	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		330.65	0	15.1378	0	36.0715	0	26.841	0	0.12	0	0.05	0		8	0.09	0	0.000129	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		320.84	0	15.5193	0	36.1402	0	26.816	0	0.12	0	0.05	0		8	0.09	0	0.000127	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		310.85	0	15.7675	0	36.1894	0	26.803	0	0.00	0	0.00	0		8	0.09	0	0.00012	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		301.31	0	15.7552	0	36.1498	0	26.773	0	0.12	0	0.05	0		8	0.09	0	0.000144	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		291.35	0	15.6702	0	36.0918	0	26.742	0	0.12	0	0.05	0		8	0.1	0	0.000193	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		281.55	0	16.157	0	36.1807	0	26.709	0	0.12	0	0.05	0		8	0.09	0	0.00014	0
6381ArabianSea	2	C	12/22/2011	12:16	65.466	20.55		271.45	0	16.2345	0	36.1657	0	26.679	0	0.12	0	0.05	0		8	0.09	0	0.00016	0
