//0																					
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   651.14	0	  5.3931	0	34.2964	0	27.009	0	11.1	0	3.5	0	38.89	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   601.43	0	  5.6792	0	34.2880	0	26.966	0	11.7	0	3.7	0	38.07	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   549.22	0	  5.8903	0	34.2511	0	26.909	0	13.6	0	4.4	0	37.34	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   501.61	0	  6.3116	0	34.2148	0	26.823	0	19.3	0	6.2	0	36.20	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   451.24	0	  6.7648	0	34.2222	0	26.768	0	20.6	0	6.7	0	34.89	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   401.43	0	  7.1545	0	34.2246	0	26.715	0	22.8	0	7.5	0	34.34	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   380.87	0	  7.3202	0	34.2186	0	26.687	0	24.9	0	8.3	0	33.77	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   361.21	0	  7.6089	0	34.2238	0	26.649	0	26.4	0	8.8	0	32.92	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   351.15	0	  7.6799	0	34.2151	0	26.632	0	28.2	0	9.4	0	32.62	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   341.63	0	  7.7591	0	34.2083	0	26.614	0	29.5	0	9.9	0	32.34	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   331.19	0	  7.7878	0	34.2062	0	26.608	0	30.9	0	10.4	0	32.41	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   321.72	0	  7.8888	0	34.2029	0	26.591	0	32.2	0	10.8	0	31.94	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   310.86	0	  8.0036	0	34.2050	0	26.575	0	33.5	0	11.3	0	31.72	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   301.23	0	  8.1465	0	34.2066	0	26.555	0	34.7	0	11.7	0	31.24	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   291.03	0	  8.2417	0	34.2033	0	26.538	0	37.1	0	12.6	0	30.86	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   280.93	0	  8.2955	0	34.2048	0	26.531	0	38.0	0	12.9	0	30.66	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   271.60	0	  8.4132	0	34.1974	0	26.507	0	38.8	0	13.2	0	30.55	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   261.17	0	  8.4579	0	34.1884	0	26.493	0	40.2	0	13.7	0	30.19	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   251.54	0	  8.4309	0	34.1562	0	26.47	0	44.9	0	15.3	0	29.97	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   241.24	0	  8.5128	0	34.1488	0	26.451	0	49.0	0	16.7	0	29.85	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   231.71	0	  8.6046	0	34.1418	0	26.431	0	51.0	0	17.4	0	29.39	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   220.10	0	  8.7167	0	34.1316	0	26.405	0	54.0	0	18.5	0	28.85	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   210.62	0	  8.6646	0	34.0772	0	26.368	0	59.2	0	20.2	0	27.53	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   201.05	0	  8.8289	0	34.0698	0	26.336	0	73.6	0	25.3	0	27.29	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   191.31	0	  9.0401	0	34.0936	0	26.322	0	72.4	0	24.9	0	27.40	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   181.00	0	  9.0940	0	34.0598	0	26.285	0	72.2	0	24.9	0	27.06	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   170.89	0	  9.2034	0	34.0333	0	26.246	0	76.3	0	26.4	0	26.08	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   160.89	0	  9.3484	0	33.9977	0	26.193	0	80.3	0	27.9	0	25.72	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   150.80	0	  9.3987	0	33.9858	0	26.174	0	83.5	0	29.0	0	25.64	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   141.25	0	  9.4571	0	33.9670	0	26.149	0	85.3	0	29.6	0	25.07	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   131.05	0	  9.5081	0	33.9520	0	26.128	0	87.8	0	30.6	0	25.47	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   121.67	0	  9.5430	0	33.9422	0	26.114	0	89.1	0	31.0	0	25.28	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   111.51	0	  9.6656	0	33.9086	0	26.066	0	90.8	0	31.7	0	24.95	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		   101.77	0	  9.7063	0	33.8854	0	26.04	0	96.3	0	33.7	0	24.76	0
