//0																					
//Oxygen,  1.12
//Nitrate, 1, 1, 0, 1.87
//Nitrate, 95,1,0,-3
//Nitrate, 110,1,0,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		601.04	0	9.2245	0	34.9998	0	27.047	0	8.51	0	2.97	0	39.49	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		551.08	0	9.6106	0	35.0087	0	26.992	0	6.27	0	2.21	0	39.12	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		501.46	0	9.9852	0	35.0131	0	26.934	0	5.15	0	1.83	0	38.53	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		451.61	0	10.3875	0	35.018	0	26.87	0	4.70	0	1.68	0	38.01	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		401.16	0	10.7552	0	35.0186	0	26.807	0	4.93	0	1.78	0	37.48	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		381.03	0	10.9335	0	35.0189	0	26.776	0	4.26	0	1.54	0	37.13	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		361.51	0	11.1118	0	35.0189	0	26.745	0	4.14	0	1.51	0	36.73	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		350.66	0	11.2608	0	35.0178	0	26.717	0	3.25	0	1.18	0	36.53	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		341.32	0	11.3908	0	35.0169	0	26.693	0	3.25	0	1.19	0	36.32	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		331.06	0	11.5069	0	35.0167	0	26.672	0	2.69	0	0.99	0	36.04	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		321.63	0	11.584	0	35.0148	0	26.656	0	3.25	0	1.19	0	35.95	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		311.42	0	11.7204	0	35.0133	0	26.63	0	3.14	0	1.15	0	35.70	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		301.22	0	11.8203	0	35.0127	0	26.611	0	2.80	0	1.03	0	35.54	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		290.81	0	11.9067	0	35.0112	0	26.594	0	2.58	0	0.95	0	35.31	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		281.23	0	12.0464	0	35.009	0	26.566	0	2.80	0	1.04	0	35.12	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		271.26	0	12.2276	0	35.0079	0	26.531	0	1.90	0	0.71	0	34.86	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		261.2	0	12.4352	0	35.0117	0	26.495	0	1.34	0	0.50	0	34.40	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		251.65	0	12.5525	0	35.0093	0	26.471	0	1.34	0	0.50	0	34.16	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		241.08	0	12.8639	0	35.003	0	26.405	0	1.57	0	0.59	0	33.80	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		231.75	0	13.1631	0	34.9974	0	26.342	0	1.68	0	0.64	0	33.36	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		221.39	0	13.5198	0	34.9778	0	26.254	0	2.13	0	0.81	0	32.93	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		211.26	0	13.8461	0	34.9713	0	26.183	0	2.35	0	0.91	0	32.48	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		199.71	0	14.1722	0	34.9637	0	26.109	0	1.79	0	0.69	0	31.97	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		190.85	0	14.5271	0	34.9517	0	26.025	0	1.46	0	0.57	0	31.47	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		180.72	0	15.2057	0	34.9325	0	25.863	0	1.01	0	0.40	0	30.86	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		171.38	0	15.6256	0	34.9102	0	25.752	0	1.23	0	0.49	0	30.11	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		161.46	0	16.4105	0	34.8939	0	25.562	0	1.46	0	0.59	0	29.63	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		151.23	0	17.919	0	34.8224	0	25.144	0	6.38	0	2.66	0	27.31	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		141.64	0	18.4302	0	34.8058	0	25.005	0	12.43	0	5.23	0	27.68	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		131.3	0	19.5382	0	34.7684	0	24.691	0	3.70	0	1.59	0	26.94	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		121.43	0	20.5952	0	34.7226	0	24.373	0	3.47	0	1.52	0	25.93	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		111.75	0	22.1433	0	34.8199	0	24.027	0	9.18	0	4.13	0	24.26	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		101.85	0	23.2623	0	34.8647	0	23.742	0	19.26	0	8.85	0	22.25	0
7550BayofBengal	1	C	12/31/2012	05:48	89.902	15.014		96.56	0	24.1167	0	34.8448	0	23.469	0	24.98	0	11.64	0	20.85	0
