//0																									
//Oxygen,  1.08
//Nitrate, 1, 1,0,0
//Nitrate, 52, 1, -3, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		1198.01	0	-0.6325	0	34.9041	0	28.076	0	334.26	0	91.73	0	15.14	0	0.04	0	0.000114	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		1099.04	0	-0.63	0	34.9041	0	28.075	0	334.69	0	91.86	0	15.20	0	0.04	0	0.000139	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		999.18	0	-0.6298	0	34.9034	0	28.075	0	334.91	0	91.92	0	14.99	0	0.04	0	0.000123	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		951.4	0	-0.6191	0	34.904	0	28.075	0	335.34	0	92.06	0	15.10	0	0.05	0	0.000116	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		901.09	0	-0.609	0	34.9052	0	28.075	0	335.34	0	92.09	0	15.07	0	0.05	0	0.000108	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		850.89	0	-0.6092	0	34.9046	0	28.074	0	335.34	0	92.09	0	15.04	0	0.05	0	0.000116	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		801.38	0	-0.6165	0	34.9038	0	28.074	0	334.26	0	91.77	0	15.00	0	0.05	0	0.000106	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		751.42	0	-0.6144	0	34.9033	0	28.074	0	333.40	0	91.54	0	15.00	0	0.06	0	0.000108	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		701.7	0	-0.6031	0	34.9042	0	28.074	0	334.26	0	91.80	0	14.85	0	0.04	0	0.000106	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		650.9	0	-0.6086	0	34.9036	0	28.074	0	335.56	0	92.15	0	14.90	0	0.05	0	0.00011	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		601.3	0	-0.5981	0	34.9036	0	28.073	0	335.12	0	92.05	0	14.94	0	0.04	0	0.000116	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		551.51	0	-0.5925	0	34.9035	0	28.072	0	335.02	0	92.04	0	14.91	0	0.04	0	0.000112	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		501.66	0	-0.545	0	34.9064	0	28.072	0	334.91	0	92.13	0	14.90	0	0.06	0	0.000116	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		451.78	0	-0.5115	0	34.9078	0	28.071	0	334.91	0	92.21	0	14.80	0	0.05	0	0.000128	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		400.98	0	-0.4717	0	34.9094	0	28.069	0	334.80	0	92.28	0	14.78	0	0.07	0	0.000119	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		380.91	0	-0.4398	0	34.911	0	28.068	0	334.58	0	92.30	0	14.83	0	0.06	0	0.000121	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		361.56	0	-0.4076	0	34.9126	0	28.068	0	334.69	0	92.41	0	14.73	0	0.07	0	0.000125	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		351.26	0	-0.4014	0	34.9128	0	28.067	0	334.58	0	92.39	0	14.68	0	0.06	0	0.000117	0
7564ARCTIC	1	C	8/23/2011	17:26	357.015	75.854		341.17	0	-0.3774	0	34.9143	0	28.067	0	334.37	0	92.39	0	14.71	0	0.07	0	0.000119	0
