//0																									
//Oxygen,  1.04
//Nitrate, 1, 0.95, 0, -4
//Nitrate, 51, 0.95, 0,0 
//Nitrate, 64, 0.95, 1, 2
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		999.44	0	3.8531	0	34.451	0	27.316	0	15.18	0	4.66	0	45.45	0	0.09	0	0.000089	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		949.6	0	3.9791	0	34.4372	0	27.291	0	12.90	0	3.97	0	45.40	0	0.1	0	0.000085	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		900.85	0	4.111	0	34.422	0	27.264	0	10.92	0	3.37	0	45.15	0	0.1	0	0.00009	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		851.26	0	4.3307	0	34.4073	0	27.227	0	9.05	0	2.81	0	45.03	0	0.09	0	0.000087	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		801.45	0	4.4996	0	34.3838	0	27.188	0	7.80	0	2.43	0	44.71	0	0.11	0	0.000096	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		750.49	0	4.6661	0	34.36	0	27.149	0	6.97	0	2.18	0	44.46	0	0.09	0	0.000089	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		701.33	0	4.7548	0	34.3414	0	27.124	0	6.76	0	2.12	0	44.31	0	0.09	0	0.000089	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		651.15	0	4.9729	0	34.3163	0	27.077	0	6.97	0	2.19	0	43.67	0	0.09	0	0.000092	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		601.14	0	5.3873	0	34.296	0	27.009	0	8.01	0	2.55	0	42.60	0	0.09	0	0.000087	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		551.12	0	5.5843	0	34.2609	0	26.956	0	9.78	0	3.12	0	41.98	0	0.11	0	0.000089	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		501.44	0	5.8968	0	34.2447	0	26.902	0	12.48	0	4.02	0	40.98	0	0.11	0	0.000085	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		451.45	0	6.0228	0	34.2019	0	26.851	0	18.30	0	5.91	0	40.37	0	0.09	0	0.00009	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		401.03	0	6.0832	0	34.1023	0	26.761	0	32.34	0	10.44	0	39.88	0	0.09	0	0.000096	0
7647CALCURRENT	1	C	11/18/2012	18:43	237.104	35.147		381.55	0	6.2092	0	34.0911	0	26.735	0	36.09	0	11.69	0	39.28	0	0.09	0	0.000092	0
