//0																													
//Oxygen,  1.005
//Nitrate, 1,1,6.2,0
//pH, 1,-.021, 0.07
//pH, 2,0.037, 0.01
//pH, 13, 0, -0.044
//pH, 27, -0.005, 0
//pH, 28, -0.010, 0
//pH, 29, -0.005, 0.04
//pH, 40, 0, -0.008
//Chl,  0.1697,  -0.0022
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		1399.38	0	0.7035	0	34.7024	0	27.817	0	204.02	0	57.91	0	33.12	0	0.022564	0	0.000097	0	7.8850	0	7.5962	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		1298.38	0	0.7462	0	34.704	0	27.815	0	202.41	0	57.52	0	33.29	0	0.022564	0	0.000095	0	7.8878	0	7.5960	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		1199.53	0	0.7919	0	34.7058	0	27.813	0	201.10	0	57.21	0	33.23	0	0.01917	0	0.000099	0	7.8907	0	7.5960	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		1098.49	0	0.8415	0	34.7084	0	27.811	0	199.59	0	56.86	0	33.30	0	0.01917	0	0.000098	0	7.8942	0	7.5966	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		999.27	0	0.8911	0	34.7105	0	27.808	0	197.88	0	56.45	0	33.44	0	0.020867	0	0.000098	0	7.8981	0	7.5975	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		951.39	0	0.9208	0	34.7116	0	27.807	0	197.08	0	56.26	0	33.14	0	0.020867	0	0.000098	0	7.9061	0	7.6046	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		900.99	0	0.9513	0	34.7128	0	27.805	0	196.08	0	56.02	0	33.50	0	0.01917	0	0.000098	0	7.9071	0	7.6043	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		851.34	0	0.9774	0	34.7141	0	27.804	0	195.07	0	55.77	0	33.42	0	0.022564	0	0.000099	0	7.9076	0	7.6035	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		800.72	0	1.0103	0	34.7154	0	27.803	0	193.86	0	55.47	0	33.19	0	0.020867	0	0.000102	0	7.9074	0	7.6021	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		751.07	0	1.0418	0	34.7166	0	27.801	0	192.56	0	55.14	0	33.29	0	0.022564	0	0.000099	0	7.9067	0	7.6002	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		701.67	0	1.0802	0	34.7182	0	27.799	0	190.95	0	54.74	0	33.42	0	0.020867	0	0.000111	0	7.9068	0	7.5993	0
