//0																													
//Oxygen,  1
//Nitrate, 1,1,0,0
//pH, 1,-0.015,0
//pH, 2,0.03,0
//pH, 3,0.005,0
//pH, 11,0,-0.0652
//pH, 29,0.005, -0.0652
//pH, 41, 0.008, 0
//pH, 50, 0, -0.02
//pH, 66, 0, 0.01
//Chl,  0.1697,  -0.013406
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		1498.61	0	0.6795	0	34.7023	0	27.819	0	207.20	0	58.78	0	35.55	0	0.030376	0	0.000115	0	7.8893	8	7.6025	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		1399.7	0	0.7092	0	34.7036	0	27.817	0	205.80	0	58.42	0	35.61	0	0.028679	0	0.000118	0	7.8923	8	7.6024	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		1299.18	0	0.7439	0	34.7049	0	27.816	0	204.60	0	58.14	0	35.66	0	0.030376	0	0.000118	0	7.8948	8	7.6019	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		1198.81	0	0.7924	0	34.707	0	27.813	0	203.60	0	57.93	0	35.59	0	0.028679	0	0.000118	0	7.8977	8	7.6019	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		1098.45	0	0.8535	0	34.7093	0	27.81	0	201.90	0	57.53	0	35.65	0	0.032073	0	0.000231	0	7.8996	8	7.6011	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		999.67	0	0.9213	0	34.7115	0	27.807	0	200.80	0	57.32	0	35.53	0	0.030376	0	0.000123	0	7.9032	8	7.6022	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		951.38	0	0.9614	0	34.7128	0	27.805	0	199.90	0	57.12	0	35.68	0	0.028679	0	0.000126	0	7.9016	8	7.6001	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		901.28	0	0.9862	0	34.7138	0	27.803	0	199.60	0	57.08	0	35.59	0	0.030376	0	0.000125	0	7.9026	8	7.5997	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		851.26	0	1.0175	0	34.7151	0	27.802	0	198.30	0	56.75	0	35.72	0	0.030376	0	0.000125	0	7.9028	8	7.5986	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		801.26	0	1.0516	0	34.7165	0	27.8	0	196.60	0	56.31	0	35.73	0	0.028679	0	0.000133	0	7.9047	8	7.5992	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		750.93	0	1.0885	0	34.7178	0	27.798	0	194.10	0	55.65	0	35.86	0	0.03377	0	0.000132	0	7.8996	8	7.5934	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		701.1	0	1.1165	0	34.7188	0	27.797	0	193.10	0	55.41	0	35.81	0	0.028679	0	0.000134	0	7.9018	8	7.5941	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		650.66	0	1.1495	0	34.7196	0	27.795	0	193.20	0	55.48	0	35.72	0	0.030376	0	0.000154	0	7.9045	8	7.5954	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		601.69	0	1.1992	0	34.7213	0	27.792	0	190.10	0	54.66	0	35.85	0	0.030376	0	0.000127	0	7.8982	8	7.5887	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		551.37	0	1.2246	0	34.7219	0	27.79	0	191.00	0	54.96	0	35.66	0	0.03377	0	0.000136	0	7.9057	8	7.5942	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		501.26	0	1.2541	0	34.7222	0	27.788	0	194.10	0	55.89	0	35.41	0	0.030376	0	0.00013	0	7.9128	8	7.5995	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		450.72	0	1.2981	0	34.7226	0	27.785	0	193.10	0	55.67	0	35.47	0	0.030376	0	0.000129	0	7.9097	8	7.5957	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		401.52	0	1.3439	0	34.7225	0	27.781	0	191.40	0	55.24	0	35.46	0	0.030376	0	0.000134	0	7.9101	8	7.5950	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		381.54	0	1.3608	0	34.7223	0	27.779	0	190.80	0	55.09	0	35.47	0	0.028679	0	0.00014	0	7.9071	8	7.5919	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		361.57	0	1.3756	0	34.7218	0	27.778	0	189.30	0	54.68	0	35.62	0	0.028679	0	0.000137	0	7.9058	8	7.5902	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		351.61	0	1.3814	0	34.7217	0	27.777	0	188.90	0	54.57	0	35.56	0	0.030376	0	0.00013	0	7.9050	8	7.5893	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		341.49	0	1.3867	0	34.7211	0	27.776	0	188.80	0	54.55	0	35.71	0	0.030376	0	0.000132	0	7.9047	8	7.5887	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		331.6	0	1.3936	0	34.7206	0	27.775	0	188.30	0	54.41	0	35.75	0	0.028679	0	0.000132	0	7.9032	8	7.5870	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		321.71	0	1.3969	0	34.7204	0	27.775	0	188.00	0	54.33	0	35.63	0	0.030376	0	0.000133	0	7.9030	8	7.5866	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		311.56	0	1.4058	0	34.7189	0	27.773	0	187.60	0	54.23	0	35.62	0	0.028679	0	0.000133	0	7.9049	8	7.5881	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		300.72	0	1.4197	0	34.7184	0	27.771	0	188.30	0	54.45	0	35.42	0	0.032073	0	0.000147	0	7.9084	8	7.5912	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		291	0	1.4256	0	34.7186	0	27.771	0	189.50	0	54.81	0	35.33	0	0.030376	0	0.00015	0	7.9109	8	7.5932	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		281.33	0	1.4291	0	34.7171	0	27.769	0	190.00	0	54.95	0	35.55	0	0.030376	0	0.000137	0	7.9061	8	7.5886	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		271.12	0	1.4327	0	34.7159	0	27.768	0	189.40	0	54.79	0	35.35	0	0.028679	0	0.000144	0	7.9094	8	7.5913	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		261.1	0	1.4396	0	34.7155	0	27.767	0	189.90	0	54.94	0	35.37	0	0.030376	0	0.000147	0	7.9115	8	7.5930	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		251.23	0	1.4326	0	34.713	0	27.766	0	190.10	0	54.99	0	35.50	0	0.03377	0	0.000143	0	7.9063	8	7.5878	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		241.1	0	1.4104	0	34.707	0	27.763	0	189.50	0	54.78	0	35.38	0	0.03377	0	0.00014	0	7.9064	8	7.5873	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		231.51	0	1.4077	0	34.7045	0	27.761	0	189.90	0	54.89	0	35.45	0	0.032073	0	0.000146	0	7.9062	8	7.5868	8
9092SoOcn	1	C	4/7/2014	23:03	210.072	-60		221.44	0	1.4033	0	34.702	0	27.759	0	190.40	0	55.03	0	35.43	0	0.028679	0	0.000146	0	7.9071	8	7.5872	8
