State,Rate,Verbal,Math,Country
CT,82,509,510,USA
NJ,81,499,513,USA
MA,79,511,515,USA
NY,77,495,505,USA
NH,72,520,516,USA
RI,71,501,499,USA
PA,71,500,499,USA
VT,69,511,506,USA
ME,69,506,500,USA
VA,68,510,501,USA
DE,67,501,499,USA
MD,65,508,510,USA
NC,65,493,499,USA
GA,63,491,489,USA
IN,60,499,501,USA
SC,57,486,488,USA
DC,56,482,474,USA
OR,55,526,526,USA
FL,54,498,499,USA
WA,53,527,527,USA
TX,53,493,499,USA
HI,52,485,515,USA
AK,51,514,510,USA
CA,51,498,517,USA
AZ,34,523,525,USA
NV,33,509,515,USA
CO,31,539,542,USA
OH,26,534,439,USA
MT,23,539,539,USA
WV,18,527,512,USA
ID,17,543,542,USA
TN,13,562,553,USA
NM,13,551,542,USA
IL,12,576,589,USA
KY,12,550,550,USA
WY,11,547,545,USA
MI,11,561,572,USA
MN,9,580,589,USA
KS,9,577,580,USA
AL,9,559,554,USA
NB,8,562,568,USA
OK,8,567,561,USA
MO,8,577,577,USA
LA,7,564,562,USA
WI,6,584,596,USA
AR,6,562,550,USA
UT,5,575,570,USA
IA,5,593,603,USA
SD,4,577,582,USA
ND,4,592,599,USA
MS,4,566,551,USA
All,45,506,514,USA
